Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,99,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,199,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,298,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,395,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,495,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,593,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,689,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,785,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,884,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,980,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,1080,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1178,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,1276,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1373,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,1469,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1564,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1661,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1759,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1857,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1953,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,2050,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,2148,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,2247,0
