Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,97,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,195,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,294,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,391,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,490,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,584,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,681,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,778,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,874,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,970,0
