Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,178,16
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,364,26
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,547,38
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,730,48
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,911,64
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,1090,80
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,1268,98
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,1450,110
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1634,124
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,1813,140
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1987,158
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,2169,171
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,2351,183
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,2528,201
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,2711,216
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,2891,234
